Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\OppPOPEN90.csv;
Starttime of export;134223624689660000;mandag 4. mai 2026;12:01:08.966
Endtime of export;134223624922060000;mandag 4. mai 2026;12:01:32.206


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar
350;151.0910367137669;350;32.422864467299419;350;79.3603320413831;350;39.349525714618679;350;5.3151036103396709;350;4.9693288979766228;350;45.216223639637441;350;84.511856440931425
360;151.1032441175573;360;32.520523697622608;360;79.3359172338023;360;39.38906105643985;360;5.3602710043641464;360;4.9690237128818628;360;45.240638447218238;360;84.438612018189033
370;151.11545152134769;370;32.532731101413006;370;79.4091616565447;370;39.428596398261035;370;5.4051332132938619;370;4.9717703787347025;370;45.22843104342784;370;84.511856440931425
380;151.22531815546131;380;32.435071871089818;380;79.3847468489639;380;39.38906105643985;380;5.4499954222235791;380;4.9714651936399425;380;45.265053254799035;380;84.46302682576983
390;151.20090334788051;390;32.398449659718622;390;79.3481246375927;390;39.349525714618679;390;5.4951628162480546;390;4.9708548234504226;390;45.350505081331825;390;84.438612018189033
400;151.0544145023957;400;32.520523697622608;400;79.29929502243111;400;39.38906105643985;400;5.540025025177771;400;4.9705496383556627;400;45.313882869960629;400;84.597308267464228
410;151.12765892513809;410;32.5815607165746;410;79.21384319589832;410;39.349525714618679;410;5.5851924192022464;410;4.9690237128818628;410;45.22843104342784;410;84.560686056093019
420;151.16428113650929;420;32.532731101413006;420;79.250465407269516;420;39.428596398261035;420;5.6300546281319619;420;4.9690237128818628;420;45.301675466170231;420;84.475234229560229
430;151.13986632892849;430;32.410657063509021;430;79.3725394451735;430;39.38906105643985;430;5.6752220221564373;430;4.968108157597583;430;45.350505081331825;430;84.450819421979432
440;151.20090334788051;440;32.447279274880216;440;79.311502426221509;440;39.270455030976265;440;5.7200842310861528;440;4.9687185277871029;440;45.374919888912622;440;84.475234229560229
