Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\FeedForward\Jib\K15.csv;
Starttime of export;134222770631170000;søndag 3. mai 2026;12:17:43.117
Endtime of export;134222771072570000;søndag 3. mai 2026;12:18:27.257


Name;fXRef;Name;fPistonPosition;Name;fFF;Name;fU;Name;fXDotRef;Name;fError;Name;fPID
730;0.3501304686862543;730;0.34875311080715909;730;0;730;0;730;0.0011340168893592864;730;0.0012982871954528297;730;0
740;0.3501304686862543;740;0.34867404012351677;740;0;740;0;740;0.0011340168893592864;740;0.0012982871954528297;740;0
750;0.3501304686862543;750;0.34871357546533788;750;0;750;0;750;0.0011340168893592864;750;0.0012982871954528297;750;0
760;0.3501304686862543;760;0.34875311080715909;760;0;760;0;760;0.0011340168893592864;760;0.0012982871954528297;760;0
770;0.3501304686862543;770;0.34875311080715909;770;0;770;0;770;0.0011340168893592864;770;0.0012982871954528297;770;0
780;0.3501304686862543;780;0.34875311080715909;780;0;780;0;780;0.0011340168893592864;780;0.0012982871954528297;780;0
790;0.3501304686862543;790;0.34883218149080147;790;0;790;0;790;0.0011340168893592864;790;0.0012982871954528297;790;0
800;0.3501304686862543;800;0.34887171683262258;800;0;800;0;800;0.0011340168893592864;800;0.0012982871954528297;800;0
810;0.3501304686862543;810;0.34883218149080147;810;0;810;0;810;0.0011340168893592864;810;0.0012982871954528297;810;0
820;0.3501304686862543;820;0.34875311080715909;820;0;820;0;820;0.0011340168893592864;820;0.0012982871954528297;820;0
830;0.3501304686862543;830;0.34875311080715909;830;0;830;0;830;0.0011340168893592864;830;0.0012982871954528297;830;0
840;0.3501304686862543;840;0.34883218149080147;840;0;840;0;840;0.0011340168893592864;840;0.0012982871954528297;840;0
850;0.3501304686862543;850;0.34883218149080147;850;0;850;0;850;0.0011340168893592864;850;0.0012982871954528297;850;0
860;0.3501304686862543;860;0.34887171683262258;860;0;860;0;860;0.0011340168893592864;860;0.0012982871954528297;860;0
870;0.3501304686862543;870;0.34887171683262258;870;0;870;0;870;0.0011340168893592864;870;0.0012982871954528297;870;0
880;0.3501304686862543;880;0.34875311080715909;880;0;880;0;880;0.0011340168893592864;880;0.0012982871954528297;880;0
890;0.3501304686862543;890;0.34875311080715909;890;0;890;0;890;0.0011340168893592864;890;0.0012982871954528297;890;0
900;0.3501304686862543;900;0.34875311080715909;900;0;900;0;900;0.0011340168893592864;900;0.0012982871954528297;900;0
910;0.3501304686862543;910;0.34883218149080147;910;0;910;0;910;0.0011340168893592864;910;0.0012982871954528297;910;0
920;0.3501304686862543;920;0.34875311080715909;920;0;920;0;920;0.0011340168893592864;920;0.0012982871954528297;920;0
930;0.3501304686862543;930;0.34871357546533788;930;0;930;0;930;0.0011340168893592864;930;0.0012982871954528297;930;0
940;0.3501304686862543;940;0.34875311080715909;940;0;940;0;940;0.0011340168893592864;940;0.0012982871954528297;940;0
950;0.3501304686862543;950;0.34875311080715909;950;0;950;0;950;0.0011340168893592864;950;0.0012982871954528297;950;0
960;0.3501304686862543;960;0.34875311080715909;960;0;960;0;960;0.0011340168893592864;960;0.0012982871954528297;960;0
970;0.3501304686862543;970;0.34883218149080147;970;0;970;0;970;0.0011340168893592864;970;0.0012982871954528297;970;0
980;0.3501304686862543;980;0.34883218149080147;980;0;980;0;980;0.0011340168893592864;980;0.0012982871954528297;980;0
990;0.3501304686862543;990;0.34883218149080147;990;0;990;0;990;0.0011340168893592864;990;0.0012982871954528297;990;0
1000;0.3501304686862543;1000;0.34871357546533788;1000;0;1000;0;1000;0.0011340168893592864;1000;0.0012982871954528297;1000;0
1010;0.3501304686862543;1010;0.34871357546533788;1010;0;1010;0;1010;0.0011340168893592864;1010;0.0012982871954528297;1010;0
1020;0.3501304686862543;1020;0.34883218149080147;1020;0;1020;0;1020;0.0011340168893592864;1020;0.0012982871954528297;1020;0
1030;0.3501304686862543;1030;0.34883218149080147;1030;0;1030;0;1030;0.0011340168893592864;1030;0.0012982871954528297;1030;0
