Name;Scope Project1;
File;C:\Users\Tobno\Desktop\CBV_Mapping\Jib\Crack2.csv;
Starttime of export;134223614525160000;mandag 4. mai 2026;11:44:12.516
Endtime of export;134223614717560000;mandag 4. mai 2026;11:44:31.756


Name;fPresSupply_bar;Name;fPres1A_bar;Name;fPres1B_bar;Name;fCylinder1_mm;Name;fValve1_V;Name;fSensor1_V;Name;fPresCyl1A_bar;Name;fPresCyl1B_bar
830;151.0422070986053;830;55.946531571398047;830;17.749565111239967;830;820.76555681020545;830;4.927213354899747;830;4.968108157597583;830;62.526322214423047;830;95.4985198522904
840;151.0910367137669;840;55.970946378978844;840;17.773979918820764;840;820.80509215202665;840;4.9262977996154671;840;4.9668874172185431;840;62.587359233375039;840;95.5961790826136
850;151.0422070986053;850;56.031983397930837;850;17.81060213019196;850;820.84462749384784;850;4.9250770592364272;850;4.9662770470290232;850;62.660603656117431;850;95.5595568712424
860;150.98117007965331;860;55.970946378978844;860;17.920468764305554;860;820.84462749384784;860;4.9241615039521474;860;4.9665822321237831;860;62.69722586748864;860;95.6572161015656
870;151.0544145023957;870;55.946531571398047;870;17.83501693777276;870;820.84462749384784;870;4.9232459486678675;870;4.9665822321237831;870;62.69722586748864;870;95.6572161015656
880;151.0422070986053;880;55.958738975188446;880;17.773979918820764;880;820.80509215202665;880;4.9220252082888276;880;4.967497787408063;880;62.746055482650235;880;95.547349467452008
890;151.11545152134769;890;55.934324167607649;890;17.896053956724753;890;820.80509215202665;890;4.9211096530045477;890;4.9684133426923429;890;62.78267769402143;890;95.5717642750328
900;151.16428113650929;900;55.836664937284461;900;17.981505783257546;900;820.84462749384784;900;4.9201940977202678;900;4.9662770470290232;900;62.672811059907829;900;95.547349467452008
910;151.11545152134769;910;55.946531571398047;910;17.883846552934354;910;820.92369817749022;910;4.9192785424359879;910;4.9665822321237831;910;62.611774040955837;910;95.4618976409192
920;151.24973296304211;920;56.019775994140439;920;17.993713187047945;920;820.92369817749022;920;4.9180578020569481;920;4.9671926023133031;920;62.623981444746235;920;95.510727256080813
930;151.24973296304211;930;55.970946378978844;930;18.079165013580738;930;820.92369817749022;930;4.9171422467726682;930;4.967497787408063;930;62.562944425794242;930;95.6328012939848
940;151.0910367137669;940;55.995361186559641;940;18.005920590838343;940;820.84462749384784;940;4.9162266914883883;940;4.968108157597583;940;62.587359233375039;940;95.5839716788232
950;151.12765892513809;950;55.958738975188446;950;17.932676168095952;950;820.80509215202665;950;4.9150059511093485;950;4.9668874172185431;950;62.648396252327032;950;95.547349467452008
960;151.1032441175573;960;56.031983397930837;960;18.005920590838343;960;820.84462749384784;960;4.9140903958250686;960;4.9662770470290232;960;62.733848078859836;960;95.4985198522904
970;151.1032441175573;970;56.019775994140439;970;18.115787224951934;970;820.84462749384784;970;4.9131748405407887;970;4.9668874172185431;970;62.733848078859836;970;95.5961790826136
980;151.11545152134769;980;55.92211676381725;980;18.091372417371137;980;820.84462749384784;980;4.9122592852565088;980;4.968108157597583;980;62.623981444746235;980;95.547349467452008
990;151.0299996948149;990;55.946531571398047;990;18.176824243903926;990;820.84462749384784;990;4.911038544877468;990;4.967497787408063;990;62.575151829584641;990;95.41306802575761
1000;151.20090334788051;1000;55.909909360026852;1000;18.189031647694325;1000;820.84462749384784;1000;4.9101229895931882;1000;4.9665822321237831;1000;62.636188848536634;1000;95.352031006805618
1010;151.21311075167091;1010;55.824457533494062;1010;18.164616840113528;1010;820.80509215202665;1010;4.9092074343089083;1010;4.9662770470290232;1010;62.611774040955837;1010;95.41306802575761
1020;151.0422070986053;1020;55.763420514542069;1020;18.091372417371137;1020;820.80509215202665;1020;4.9082918790246284;1020;4.9662770470290232;1020;62.660603656117431;1020;95.4985198522904
1030;151.0666219061861;1030;55.836664937284461;1030;18.005920590838343;1030;820.84462749384784;1030;4.9070711386455885;1030;4.9665822321237831;1030;62.746055482650235;1030;95.4496902371288
1040;151.12765892513809;1040;55.909909360026852;1040;18.042542802209542;1040;820.80509215202665;1040;4.9061555833613086;1040;4.968108157597583;1040;62.672811059907829;1040;95.5595568712424
1050;151.20090334788051;1050;55.848872341074859;1050;18.140202032532731;1050;820.80509215202665;1050;4.9052400280770287;1050;4.9684133426923429;1050;62.660603656117431;1050;95.6450086977752
1060;151.15207373271889;1060;55.775627918332468;1060;18.176824243903926;1060;820.76555681020545;1060;4.9040192876979889;1060;4.9671926023133031;1060;62.709433271279039;1060;95.547349467452008
1070;151.0666219061861;1070;55.739005706961272;1070;18.164616840113528;1070;820.80509215202665;1070;4.903103732413709;1070;4.9668874172185431;1070;62.733848078859836;1070;95.4741050447096
1080;151.0910367137669;1080;55.824457533494062;1080;18.201239051484723;1080;820.80509215202665;1080;4.9021881771294291;1080;4.9665822321237831;1080;62.709433271279039;1080;95.4985198522904
1090;151.18869594409011;1090;55.848872341074859;1090;18.286690878017517;1090;820.80509215202665;1090;4.9012726218451492;1090;4.9668874172185431;1090;62.660603656117431;1090;95.4985198522904
1100;151.18869594409011;1100;55.848872341074859;1100;18.37214270455031;1100;820.84462749384784;1100;4.9000518814661094;1100;4.9668874172185431;1100;62.611774040955837;1100;95.4863124485
1110;151.13986632892849;1110;55.885494552446055;1110;18.298898281807915;1110;820.80509215202665;1110;4.8991363261818295;1110;4.9665822321237831;1110;62.623981444746235;1110;95.41306802575761
