Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MAINFRIC.csv;
Starttime of export;134225416292140000;onsdag 6. mai 2026;13:47:09.214
Endtime of export;134225416573394775;onsdag 6. mai 2026;13:47:37.339


Name;fMain_Spool;Name;fU;Name;fMain_Position_mm;Name;fMain_Pa_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_bar;Name;fPs_bar
1280;-0.00082399975585190077;1280;0;1280;348.142426;1280;0;1280;53.4806366;1280;0.219733268;1280;152.372818
1290;-0.00082399975585190077;1290;0;1290;348.180878;1290;0;1290;53.6759529;1290;0.219733268;1290;152.397232
1300;-0.00094607379375588607;1300;0;1300;348.180878;1300;0;1300;53.6637459;1300;0.219733268;1300;152.397232
1310;-0.00094607379375588607;1310;0;1310;348.180878;1310;0;1310;53.5172577;1310;0.207525864;1310;152.3484
1320;-0.00094607379375588607;1320;0;1320;348.180878;1320;0;1320;53.6271248;1320;0.207525864;1320;152.32399
1330;-0.00094607379375588607;1330;0;1330;348.142426;1330;0;1330;53.6637459;1330;0.183111057;1330;152.275162
1340;-0.0010071108127078787;1340;0;1340;348.142426;1340;0;1340;53.4928436;1340;0.170903653;1340;152.299576
1350;-0.00094607379375588607;1350;0;1350;348.180878;1350;0;1350;53.4806366;1350;0.183111057;1350;152.238525
1360;-0.0010071108127078787;1360;0;1360;348.103943;1360;0;1360;53.5905037;1360;0.183111057;1360;152.250748
1370;-0.00082399975585190077;1370;0;1370;348.103943;1370;0;1370;53.56609;1370;0.183111057;1370;152.360611
1380;-0.0010071108127078787;1380;0;1380;348.103943;1380;0;1380;53.5782967;1380;0.170903653;1380;152.397232
1390;-0.0010681478316598714;1390;0;1390;348.142426;1390;0;1390;53.5782967;1390;0.170903653;1390;152.409439
1400;-0.0010071108127078787;1400;0;1400;348.103943;1400;0;1400;53.56609;1400;0.183111057;1400;152.409439
1410;-0.00094607379375588607;1410;0;1410;348.103943;1410;0;1410;53.5905037;1410;0.207525864;1410;152.44606
1420;-0.00094607379375588607;1420;0;1420;348.142426;1420;0;1420;53.56609;1420;0.219733268;1420;152.3484
1430;-0.00082399975585190077;1430;0;1430;348.103943;1430;0.0122074038;1430;53.5294647;1430;0.207525864;1430;152.311783
1440;-0.00082399975585190077;1440;0;1440;348.180878;1440;0;1440;53.5905037;1440;0.207525864;1440;152.311783
1450;-0.0010681478316598714;1450;0;1450;348.142426;1450;0;1450;53.5782967;1450;0.183111057;1450;152.32399
1460;-0.00088503677480389342;1460;0;1460;348.180878;1460;0;1460;53.56609;1460;0.183111057;1460;152.433853
1470;-0.0010071108127078787;1470;0;1470;348.180878;1470;0;1470;53.6149178;1470;0.183111057;1470;152.3484
1480;-0.0010071108127078787;1480;0;1480;348.180878;1480;0.0122074038;1480;53.56609;1480;0.219733268;1480;152.372818
1490;-0.0010071108127078787;1490;0;1490;348.180878;1490;0.0244148076;1490;53.50505;1490;0.207525864;1490;152.372818
1500;-0.0010071108127078787;1500;0;1500;348.06546;1500;0;1500;53.6149178;1500;0.170903653;1500;152.409439
1510;-0.00094607379375588607;1510;0;1510;348.06546;1510;0;1510;53.65154;1510;0.183111057;1510;152.3484
1520;-0.0010071108127078787;1520;0;1520;348.103943;1520;0.0244148076;1520;53.6271248;1520;0.231940672;1520;152.3362
1530;-0.0010071108127078787;1530;0;1530;348.103943;1530;0.03662221;1530;53.5172577;1530;0.231940672;1530;152.433853
1540;-0.00094607379375588607;1540;0;1540;348.103943;1540;0;1540;53.4318047;1540;0.170903653;1540;152.421646
1550;-0.00076296273689990812;1550;0;1550;348.142426;1550;0;1550;53.4806366;1550;0.183111057;1550;152.360611
1560;-0.00088503677480389342;1560;0;1560;348.103943;1560;0.0122074038;1560;53.56609;1560;0.183111057;1560;152.3484
1570;-0.00076296273689990812;1570;0;1570;348.180878;1570;0;1570;53.5905037;1570;0.207525864;1570;152.409439
1580;-0.00094607379375588607;1580;0;1580;348.180878;1580;0;1580;53.5905037;1580;0.219733268;1580;152.360611
1590;-0.0010071108127078787;1590;0;1590;348.103943;1590;0.0122074038;1590;53.65154;1590;0.231940672;1590;152.372818
1600;-0.0010071108127078787;1600;0;1600;348.142426;1600;0;1600;53.60271;1600;0.244148076;1600;152.397232
1610;-0.0010071108127078787;1610;0;1610;348.142426;1610;0;1610;53.5905037;1610;0.244148076;1610;152.482681
1620;-0.00094607379375588607;1620;0;1620;348.06546;1620;0;1620;53.6759529;1620;0.183111057;1620;152.531509
1630;-0.0010681478316598714;1630;0;1630;348.06546;1630;0;1630;53.6637459;1630;0.170903653;1630;152.433853
1640;-0.0010071108127078787;1640;0;1640;348.180878;1640;0;1640;53.54167;1640;0.183111057;1640;152.458267
1650;-0.0010071108127078787;1650;0;1650;348.142426;1650;0.0244148076;1650;53.5172577;1650;0.183111057;1650;152.360611
1660;-0.00082399975585190077;1660;0;1660;348.142426;1660;0.0488296151;1660;53.60271;1660;0.207525864;1660;152.32399
1670;-0.0010071108127078787;1670;0;1670;348.142426;1670;0.0122074038;1670;53.6759529;1670;0.170903653;1670;152.360611
1680;-0.00088503677480389342;1680;0;1680;348.103943;1680;0;1680;53.6881638;1680;0.170903653;1680;152.433853
1690;-0.00088503677480389342;1690;0;1690;348.06546;1690;0.0122074038;1690;53.6637459;1690;0.170903653;1690;152.3362
1700;-0.0010071108127078787;1700;0;1700;348.142426;1700;0.0122074038;1700;53.6271248;1700;0.207525864;1700;152.372818
1710;-0.0010071108127078787;1710;0;1710;348.103943;1710;0.0122074038;1710;53.56609;1710;0.244148076;1710;152.3362
1720;-0.001129184850611864;1720;0;1720;348.103943;1720;0.0122074038;1720;53.60271;1720;0.219733268;1720;152.1897
1730;-0.0010071108127078787;1730;0;1730;348.142426;1730;0;1730;53.6271248;1730;0.219733268;1730;152.409439
1740;-0.00088503677480389342;1740;0;1740;348.06546;1740;0;1740;53.5294647;1740;0.183111057;1740;152.494888
1750;-0.00076296273689990812;1750;0;1750;348.06546;1750;0.0244148076;1750;53.5294647;1750;0.207525864;1750;152.421646
1760;-0.00094607379375588607;1760;0;1760;348.06546;1760;0.03662221;1760;53.6149178;1760;0.219733268;1760;152.360611
1770;-0.00088503677480389342;1770;0;1770;348.103943;1770;0;1770;53.6637459;1770;0.231940672;1770;152.3362
1780;-0.0010071108127078787;1780;0;1780;348.142426;1780;0;1780;53.6271248;1780;0.231940672;1780;152.299576
