Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\MainFrictionRetake.csv;
Starttime of export;134227052015630000;fredag 8. mai 2026;11:13:21.563
Endtime of export;134227052853030000;fredag 8. mai 2026;11:14:45.303


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar
810;0;810;299.937317;810;0;810;0;810;0;810;0;810;151.554916;810;0;810;0.170903653;810;56.14185;810;0
820;0;820;299.937317;820;0;820;0;820;0;820;0;820;151.481674;820;0;820;0.170903653;820;56.14185;820;0
830;0;830;299.975769;830;0;830;0;830;0;830;0;830;151.420639;830;0.0122074038;830;0.170903653;830;56.09302;830;0
840;0;840;299.937317;840;0;840;0;840;0;840;0;840;151.445053;840;0.0122074038;840;0.158696249;840;56.09302;840;0
850;0;850;299.937317;850;0;850;0;850;0;850;0;850;151.3474;850;0;850;0.146488845;850;56.1174355;850;0
860;0;860;300.014252;860;0;860;0;860;0;860;0;860;151.396225;860;0;860;0.170903653;860;56.1540565;860;0
870;0;870;300.014252;870;0;870;0;870;0;870;0;870;151.445053;870;0;870;0.219733268;870;56.10523;870;0
880;0;880;299.975769;880;0;880;0;880;0;880;0;880;151.33519;880;0.0122074038;880;0.207525864;880;56.1174355;880;0
890;0;890;300.014252;890;0;890;0;890;0;890;0;890;151.384018;890;0.0244148076;890;0.207525864;890;56.09302;890;0
900;0;900;299.937317;900;0;900;0;900;0;900;0;900;151.396225;900;0;900;0.183111057;900;56.0686073;900;0
910;0;910;299.937317;910;0;910;0;910;0;910;0;910;151.445053;910;0;910;0.183111057;910;56.14185;910;0
920;0;920;299.975769;920;0;920;0;920;0;920;0;920;151.445053;920;0;920;0.207525864;920;56.20289;920;0
930;0;930;300.014252;930;0;930;0;930;0;930;0;930;151.420639;930;0;930;0.207525864;930;56.2883377;930;0
940;0;940;300.014252;940;0;940;0;940;0;940;0;940;151.469467;940;0;940;0.183111057;940;56.20289;940;0
950;0;950;299.975769;950;0;950;0;950;0;950;0;950;151.420639;950;0;950;0.170903653;950;56.14185;950;0
960;0;960;299.937317;960;0;960;0;960;0;960;0;960;151.469467;960;0;960;0.170903653;960;56.1540565;960;0
970;0;970;299.975769;970;0;970;0;970;0;970;0;970;151.469467;970;0;970;0.183111057;970;56.1662636;970;0
980;0;980;300.014252;980;0;980;0;980;0;980;0;980;151.469467;980;0.0244148076;980;0.207525864;980;56.19068;980;0
990;0;990;299.975769;990;0;990;0;990;0;990;0;990;151.420639;990;0;990;0.170903653;990;56.1296425;990;0
1000;0;1000;299.937317;1000;0;1000;0;1000;0;1000;0;1000;151.420639;1000;0;1000;0.183111057;1000;56.14185;1000;0
1010;0;1010;299.937317;1010;0;1010;0;1010;0;1010;0;1010;151.481674;1010;0.06103702;1010;0.207525864;1010;56.20289;1010;0
1020;0;1020;299.975769;1020;0;1020;0;1020;0;1020;0;1020;151.481674;1020;0.03662221;1020;0.183111057;1020;56.20289;1020;0
1030;0;1030;299.975769;1030;0;1030;0;1030;0;1030;0;1030;151.481674;1030;0;1030;0.158696249;1030;56.1174355;1030;0
1040;0;1040;299.937317;1040;0;1040;0;1040;0;1040;0;1040;151.432846;1040;0;1040;0.207525864;1040;56.1540565;1040;0
1050;0;1050;299.937317;1050;0;1050;0;1050;0;1050;0;1050;151.396225;1050;0;1050;0.207525864;1050;56.1662636;1050;0
1060;0;1060;299.975769;1060;0;1060;0;1060;0;1060;0;1060;151.33519;1060;0;1060;0.158696249;1060;56.1540565;1060;0
1070;0;1070;300.014252;1070;0;1070;0;1070;0;1070;0;1070;151.322983;1070;0;1070;0.170903653;1070;56.20289;1070;0
1080;0;1080;300.014252;1080;0;1080;0;1080;0;1080;0;1080;151.481674;1080;0;1080;0.170903653;1080;56.1662636;1080;0
1090;0;1090;300.014252;1090;0;1090;0;1090;0;1090;0;1090;151.57933;1090;0;1090;0.207525864;1090;56.1662636;1090;0
1100;0;1100;299.937317;1100;0;1100;0;1100;0;1100;0;1100;151.5305;1100;0;1100;0.183111057;1100;56.20289;1100;0
1110;0;1110;299.975769;1110;0;1110;0;1110;0;1110;0;1110;151.5305;1110;0;1110;0.170903653;1110;56.1540565;1110;0
1120;0;1120;300.014252;1120;0;1120;0;1120;0;1120;0;1120;151.469467;1120;0;1120;0.170903653;1120;56.04419;1120;0
1130;0;1130;300.014252;1130;0;1130;0;1130;0;1130;0;1130;151.481674;1130;0;1130;0.183111057;1130;56.0686073;1130;0
