Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JibHard1.csv;
Starttime of export;134226189112130000;torsdag 7. mai 2026;11:15:11.213
Endtime of export;134226190135530000;torsdag 7. mai 2026;11:16:53.553


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
600;0;600;363.807556;600;0;600;0;600;0;600;0;600;0.3051851;600;52.4063835;600;52.44301;600;49.03714;600;53.40739
610;0;610;363.846283;610;0;610;0;610;0;610;0;610;0.3051851;610;52.3575554;610;52.4552155;610;49.061554;610;53.3585625
620;0;620;363.807556;620;0;620;0;620;0;620;0;620;0.2807703;620;52.3697624;620;52.4552155;620;49.1348;620;53.3463554
630;0;630;363.807556;630;0;630;0;630;0;630;0;630;0.2929777;630;52.4918365;630;52.3697624;630;49.09818;630;53.2975235
640;0;640;363.846283;640;0;640;0;640;0;640;0;640;0.3173925;640;52.5040436;640;52.3697624;640;49.061554;640;53.40739
650;0;650;363.76886;650;0;650;0;650;0;650;0;650;0.3173925;650;52.4063835;650;52.4552155;650;49.3057022;650;53.37077
660;0;660;363.691467;660;0;660;0;660;0;660;0;660;0.329599917;660;52.3575554;660;52.4918365;660;49.220253;660;53.37077
670;0;670;363.691467;670;0;670;0;670;0;670;0;670;0.378429532;670;52.44301;670;52.3941765;670;49.0127258;670;53.3829765
680;0;680;363.76886;680;0;680;0;680;0;680;0;680;0.378429532;680;52.5284576;680;52.4063835;680;49.061554;680;53.3463554
690;0;690;363.807556;690;0;690;0;690;0;690;0;690;0.354014724;690;52.5284576;690;52.55287;690;49.03714;690;53.3829765
700;0;700;363.807556;700;0;700;0;700;0;700;0;700;0.329599917;700;52.44301;700;52.4674225;700;48.95169;700;53.40739
710;0;710;363.846283;710;0;710;0;710;0;710;0;710;0.2929777;710;52.4552155;710;52.4063835;710;49.061554;710;53.4440155
720;0;720;363.807556;720;0;720;0;720;0;720;0;720;0.3173925;720;52.34535;720;52.4674225;720;49.1103859;720;53.4806366
730;0;730;363.76886;730;0;730;0;730;0;730;0;730;0.378429532;730;52.2721024;730;52.4552155;730;49.09818;730;53.4440155
740;0;740;363.807556;740;0;740;0;740;0;740;0;740;0.390636921;740;52.3209343;740;52.4674225;740;49.0737648;740;53.4562225
750;0;750;363.846283;750;0;750;0;750;0;750;0;750;0.3173925;750;52.2721024;750;52.55287;750;49.0493469;750;53.3585625
760;0;760;363.76886;760;0;760;0;760;0;760;0;760;0.2807703;760;52.3575554;760;52.51625;760;49.0127258;760;53.2853165
770;0;770;363.807556;770;0;770;0;770;0;770;0;770;0.329599917;770;52.4552155;770;52.3575554;770;49.0127258;770;53.4318047
780;0;780;363.846283;780;0;780;0;780;0;780;0;780;0.329599917;780;52.3941765;780;52.41859;780;49.0737648;780;53.4318047
790;0;790;363.846283;790;0;790;0;790;0;790;0;790;0.3418073;790;52.3941765;790;52.47963;790;49.0737648;790;53.33415
