Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\JIBFRIC.csv;
Starttime of export;134225418299840000;onsdag 6. mai 2026;13:50:29.984
Endtime of export;134225418629540000;onsdag 6. mai 2026;13:51:02.954


Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar;Name;fJib_Position_mm;Name;fPs_bar;Name;fU;Name;fJib_Spool
930;3.0640583;930;89.7366257;930;60.4022331;930;86.18427;930;349.029846;930;153.056427;930;-0.18354061206282807;930;-0.17874691000091564
940;3.02743626;940;89.65118;940;60.32899;940;86.0621948;940;349.029846;940;153.16629;940;-0.1832388445759866;940;-0.17722098452711563
950;2.990814;950;89.57793;950;60.3045731;950;85.83025;950;349.029846;950;153.080841;950;-0.18298034599288598;950;-0.1774040955839716
960;2.89315462;960;89.5046844;960;60.28016;960;85.70818;960;349.029846;960;153.16629;960;-0.18266076293931555;960;-0.17624439222388374
970;2.75887322;970;89.44365;970;60.19471;970;85.76922;970;348.950775;970;153.227325;970;-0.18083480880575642;970;-0.17532883693960385
980;2.75887322;980;89.33378;980;60.09705;980;85.67156;980;348.911255;980;153.227325;980;-0.17974914344744364;980;-0.17551194799645983
990;2.685629;990;89.3093643;990;59.9871826;990;85.61052;990;348.911255;990;153.263962;990;-0.17941294999758731;990;-0.17465742973113194
1000;2.62459183;1000;89.10184;1000;59.9749756;1000;85.51286;1000;348.832184;1000;153.325;1000;-0.17750766322881484;1000;-0.174108096560564
1010;2.55134749;1010;89.0652161;1010;59.95056;1010;85.403;1010;348.832184;1010;153.483688;1010;-0.17711002432142264;1010;-0.17288735618152415
1020;2.478103;1020;88.91873;1020;59.9261436;1020;85.43962;1020;348.7531;1020;153.386032;1020;-0.17523190813061815;1020;-0.17294839320047614
1030;2.34382153;1030;88.85769;1030;59.90173;1030;85.3785858;1030;348.713562;1030;153.422653;1030;-0.17407857751232961;1030;-0.1716666158024843
1040;2.25836968;1040;88.79665;1040;59.66979;1040;85.2443;1040;348.7531;1040;153.398239;1040;-0.17442735521828115;1040;-0.17136143070772433
1050;2.31940675;1050;88.67458;1050;59.4988861;1050;85.1100159;1050;348.7531;1050;153.5081;1050;-0.17396552601855095;1050;-0.16983550523392435
1060;2.28278446;1060;88.6257553;1060;59.5355072;1060;85.00015;1060;348.713562;1060;153.617966;1060;-0.17275567379018475;1060;-0.16922513504440442
1070;2.18512535;1070;88.52809;1070;59.5355072;1070;84.87808;1070;348.6345;1070;153.8255;1070;-0.17074904259845369;1070;-0.16849269081698051
1080;2.148503;1080;88.5158844;1080;59.43785;1080;84.89029;1080;348.6345;1080;153.886536;1080;-0.17028140875506859;1080;-0.16721091341898867
1090;2.148503;1090;88.36939;1090;59.401226;1090;84.7438;1090;348.6345;1090;153.8133;1090;-0.16979902707748884;1090;-0.16660054322946874
1100;2.00201416;1100;88.38161;1100;59.450058;1100;84.5606842;1100;348.674042;1100;153.8377;1100;-0.17006536983238385;1100;-0.16550187688833268
1110;1.97759938;1110;88.18629;1110;59.2669449;1110;84.52406;1110;348.674042;1110;153.8255;1110;-0.16953147170975819;1110;-0.16501358073671674
1120;1.94097722;1120;87.99097;1120;59.10825;1120;84.42641;1120;348.594971;1120;153.971985;1120;-0.16745124667038536;1120;-0.16336558122501293
1130;1.8311106;1130;87.85668;1130;59.1692848;1130;84.2799149;1130;348.55542;1130;153.971985;1130;-0.166148718070009;1130;-0.16293832209234899
1140;1.73345137;1140;87.79565;1140;59.0960426;1140;84.21888;1140;348.55542;1140;153.898743;1140;-0.16560954498608876;1140;-0.16159550767540515
1150;1.64799953;1150;87.73461;1150;59.01059;1150;84.1578445;1150;348.55542;1150;153.8255;1150;-0.16505462992871933;1150;-0.16135135959959718
1160;1.64799953;1160;87.51488;1160;58.9251366;1160;83.98694;1160;348.5159;1160;153.971985;1160;-0.16366841377924612;1160;-0.16037476729636529
1170;1.55034029;1170;87.46605;1170;58.8641;1170;83.9259;1170;348.5159;1170;153.862122;1170;-0.16309180989265684;1170;-0.15921506393627743
