Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\SinusTests\JibFricRetake.csv;
Starttime of export;134227056435130000;fredag 8. mai 2026;11:20:43.513
Endtime of export;134227057266530000;fredag 8. mai 2026;11:22:06.653


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fJib_Pa_bar;Name;fJib_Pb_bar;Name;fJib_Pa_Cyl_bar;Name;fJib_Pb_Cyl_bar
580;399.211456;580;399.919983;580;-0.7857747;580;-0.003937458642292932;580;0;580;0;580;152.140869;580;55.3239555;580;55.34837;580;56.9231224;580;70.4611359
590;399.211456;590;399.919983;590;-0.7857747;590;-0.003937458642292932;590;0;590;0;590;152.1897;590;55.3971977;590;55.4094048;590;56.94754;590;70.509964
600;399.211456;600;399.919983;600;-0.7857747;600;-0.003937458642292932;600;0;600;0;600;152.214111;600;55.34837;600;55.5070648;600;57.09403;600;70.63204
610;399.211456;610;399.919983;610;-0.7857747;610;-0.003937458642292932;610;0;610;0;610;152.17749;610;55.34837;610;55.5436859;610;56.9231224;610;70.5832062
620;399.211456;620;399.919983;620;-0.7857747;620;-0.003937458642292932;620;0;620;0;620;152.250748;620;55.34837;620;55.4704437;620;56.8376732;620;70.4001
630;399.211456;630;399.842743;630;-0.7857747;630;-0.003937458642292932;630;0;630;0;630;152.214111;630;55.2629166;630;55.34837;630;56.93533;630;70.49776
640;399.211456;640;399.881378;640;-0.7857747;640;-0.003937458642292932;640;0;640;0;640;152.116455;640;55.3117447;640;55.25071;640;57.0207825;640;70.47334
650;399.211456;650;399.919983;650;-0.7857747;650;-0.003937458642292932;650;0;650;0;650;152.128662;650;55.3239555;650;55.2995377;650;57.0207825;650;70.30244
660;399.211456;660;399.881378;660;-0.7857747;660;-0.003937458642292932;660;0;660;0;660;152.165283;660;55.42161;660;55.3239555;660;57.03299;660;70.30244
670;399.211456;670;399.881378;670;-0.7857747;670;-0.003937458642292932;670;0;670;0;670;152.1897;670;55.42161;670;55.25071;670;56.9231224;670;70.37569
