Name;YT Scope Project;
File;C:\Users\Tobno\Desktop\MainHard1.csv;
Starttime of export;134226208972630000;torsdag 7. mai 2026;11:48:17.263
Endtime of export;134226210017030000;torsdag 7. mai 2026;11:50:01.703


Name;fXRef_mm;Name;fXReal_mm;Name;fError_mm;Name;fXDotRef;Name;fU_FF;Name;fU_PID;Name;fPs_bar;Name;fMain_Pa_bar;Name;fMain_Pb_bar;Name;fMain_Pa_Cyl_bar;Name;fMain_Pb_Cyl_bar
830;156.0188;830;299.475647;830;3.134037;830;0.01073457201525492;830;0;830;0;830;151.908936;830;0;830;0.183111057;830;56.1662636;830;0
840;156.0188;840;299.437164;840;3.134037;840;0.01073457201525492;840;0;840;0;840;151.982178;840;0;840;0.183111057;840;56.2150955;840;0
850;156.0188;850;299.437164;850;3.134037;850;0.01073457201525492;850;0;850;0;850;151.945557;850;0;850;0.183111057;850;56.23951;850;0
860;156.0188;860;299.437164;860;3.134037;860;0.01073457201525492;860;0;860;0;860;151.8479;860;0;860;0.207525864;860;56.2273026;860;0
870;156.0188;870;299.437164;870;3.134037;870;0.01073457201525492;870;0;870;0;870;151.8601;870;0;870;0.207525864;870;56.1540565;870;0
880;156.0188;880;299.437164;880;3.134037;880;0.01073457201525492;880;0;880;0;880;151.872314;880;0;880;0.183111057;880;56.19068;880;0
890;156.0188;890;299.437164;890;3.134037;890;0.01073457201525492;890;0;890;0;890;151.8601;890;0;890;0.183111057;890;56.2517166;890;0
900;156.0188;900;299.437164;900;3.134037;900;0.01073457201525492;900;0;900;0;900;151.8357;900;0;900;0.158696249;900;56.23951;900;0
910;156.0188;910;299.437164;910;3.134037;910;0.01073457201525492;910;0;910;0;910;151.872314;910;0;910;0.207525864;910;56.2273026;910;0
920;156.0188;920;299.475647;920;3.134037;920;0.01073457201525492;920;0;920;0;920;151.93335;920;0;920;0.207525864;920;56.20289;920;0
930;156.0188;930;299.437164;930;3.134037;930;0.01073457201525492;930;0;930;0;930;151.762451;930;0;930;0.158696249;930;56.2150955;930;0
940;156.0188;940;299.437164;940;3.134037;940;0.01073457201525492;940;0;940;0;940;151.713608;940;0;940;0.170903653;940;56.2273026;940;0
950;156.0188;950;299.437164;950;3.134037;950;0.01073457201525492;950;0;950;0;950;151.774658;950;0.0122074038;950;0.158696249;950;56.20289;950;0
960;156.0188;960;299.475647;960;3.134037;960;0.01073457201525492;960;0;960;0;960;151.750244;960;0.0244148076;960;0.170903653;960;56.27613;960;0
970;156.0188;970;299.437164;970;3.134037;970;0.01073457201525492;970;0;970;0;970;151.799072;970;0;970;0.207525864;970;56.3249626;970;0
980;156.0188;980;299.437164;980;3.134037;980;0.01073457201525492;980;0;980;0;980;151.799072;980;0;980;0.207525864;980;56.3249626;980;0
990;156.0188;990;299.3987;990;3.134037;990;0.01073457201525492;990;0;990;0;990;151.8357;990;0;990;0.183111057;990;56.27613;990;0
1000;156.0188;1000;299.3987;1000;3.134037;1000;0.01073457201525492;1000;0;1000;0;1000;151.884521;1000;0;1000;0.183111057;1000;56.20289;1000;0
1010;156.0188;1010;299.437164;1010;3.134037;1010;0.01073457201525492;1010;0;1010;0;1010;151.8357;1010;0;1010;0.183111057;1010;56.27613;1010;0
1020;156.0188;1020;299.475647;1020;3.134037;1020;0.01073457201525492;1020;0;1020;0;1020;151.8357;1020;0;1020;0.170903653;1020;56.3005447;1020;0
1030;156.0188;1030;299.475647;1030;3.134037;1030;0.01073457201525492;1030;0;1030;0;1030;151.8357;1030;0;1030;0.183111057;1030;56.23951;1030;0
1040;156.0188;1040;299.475647;1040;3.134037;1040;0.01073457201525492;1040;0;1040;0;1040;151.786865;1040;0;1040;0.183111057;1040;56.19068;1040;0
1050;156.0188;1050;299.475647;1050;3.134037;1050;0.01073457201525492;1050;0;1050;0;1050;151.786865;1050;0;1050;0.170903653;1050;56.2150955;1050;0
1060;156.0188;1060;299.475647;1060;3.134037;1060;0.01073457201525492;1060;0;1060;0;1060;151.762451;1060;0.0122074038;1060;0.170903653;1060;56.2517166;1060;0
1070;156.0188;1070;299.475647;1070;3.134037;1070;0.01073457201525492;1070;0;1070;0;1070;151.8601;1070;0;1070;0.183111057;1070;56.3005447;1070;0
1080;156.0188;1080;299.475647;1080;3.134037;1080;0.01073457201525492;1080;0;1080;0;1080;151.872314;1080;0;1080;0.207525864;1080;56.3615837;1080;0
1090;156.0188;1090;299.437164;1090;3.134037;1090;0.01073457201525492;1090;0;1090;0;1090;151.908936;1090;0.0122074038;1090;0.207525864;1090;56.27613;1090;0
1100;156.0188;1100;299.3987;1100;3.134037;1100;0.01073457201525492;1100;0;1100;0;1100;151.872314;1100;0;1100;0.158696249;1100;56.23951;1100;0
1110;156.0188;1110;299.437164;1110;3.134037;1110;0.01073457201525492;1110;0;1110;0;1110;151.6892;1110;0;1110;0.170903653;1110;56.2150955;1110;0
1120;156.0188;1120;299.475647;1120;3.134037;1120;0.01073457201525492;1120;0;1120;0;1120;151.628159;1120;0;1120;0.170903653;1120;56.1662636;1120;0
1130;156.0188;1130;299.475647;1130;3.134037;1130;0.01073457201525492;1130;0;1130;0;1130;151.725815;1130;0;1130;0.158696249;1130;56.0686073;1130;0
1140;156.0188;1140;299.437164;1140;3.134037;1140;0.01073457201525492;1140;0;1140;0;1140;151.774658;1140;0;1140;0.158696249;1140;56.0686073;1140;0
1150;156.0188;1150;299.437164;1150;3.134037;1150;0.01073457201525492;1150;0;1150;0;1150;151.676987;1150;0;1150;0.158696249;1150;56.1662636;1150;0
